chroma_means_0,chroma_means_1,chroma_means_10,chroma_means_11,chroma_means_2,chroma_means_3,chroma_means_4,chroma_means_5,chroma_means_6,chroma_means_7,chroma_means_8,chroma_means_9,contrast_means_0,contrast_means_1,contrast_means_2,contrast_means_3,contrast_means_4,contrast_means_5,contrast_means_6,duration_sec,dynamic_range,filename,filesize_mb,mfcc_means_0,mfcc_means_1,mfcc_means_10,mfcc_means_11,mfcc_means_12,mfcc_means_2,mfcc_means_3,mfcc_means_4,mfcc_means_5,mfcc_means_6,mfcc_means_7,mfcc_means_8,mfcc_means_9,rms_mean,rms_std,sample_rate,session,spectral_bandwidth_mean,spectral_centroid_mean,spectral_centroid_std,spectral_flatness_mean,spectral_rolloff_mean,tempo_bpm,zero_crossing_rate_mean
0.451,0.371,0.406,0.375,0.427,0.438,0.327,0.361,0.317,0.421,0.356,0.362,22.628,17.522,20.057,18.759,17.421,17.425,46.335,203.94,0.1747,33-doom-disco.mp3,6.23,-154.99,49.98,1.18,1.05,-3.64,24.63,33.12,11.03,2.33,6.22,4.72,8.31,4.68,0.1179,0.0496,22050,music,3004.0,3247.8,1295.8,0.0287,6944.9,95.7,0.1188
0.335,0.3,0.476,0.331,0.286,0.31,0.362,0.455,0.358,0.354,0.379,0.423,22.037,16.141,20.819,20.58,19.145,18.086,47.562,115.82,0.2338,34-bebop-black-metal.mp3,3.54,-161.4,44.7,-1.17,2.36,-1.53,-12.0,30.91,2.86,5.26,2.96,5.15,-3.12,2.5,0.11,0.0716,22050,music,2475.5,2859.6,1027.1,0.0309,5500.2,89.1,0.1414
0.162,0.237,0.197,0.137,0.405,0.264,0.28,0.27,0.161,0.227,0.229,0.329,22.578,20.563,24.372,23.431,20.44,18.03,46.963,223.77,0.254,35-the-interval.mp3,6.84,-215.39,88.69,-2.8,-3.6,-8.08,7.22,22.19,2.42,11.91,10.76,0.46,0.94,-0.74,0.125,0.0788,22050,music,2221.5,1848.4,875.0,0.0071,3821.2,86.1,0.0667
0.231,0.294,0.308,0.249,0.489,0.33,0.362,0.266,0.194,0.229,0.291,0.437,20.846,18.035,22.786,21.997,19.99,20.613,46.182,184.99,0.2364,36-the-proof-is-the-performance.mp3,5.65,-183.5,104.42,6.26,-1.06,-0.52,-7.75,35.01,9.01,-0.88,9.78,12.17,-2.8,4.28,0.1267,0.0724,22050,music,1961.8,1760.5,887.8,0.0077,3459.2,152.0,0.0785
0.457,0.348,0.303,0.392,0.337,0.322,0.354,0.274,0.319,0.363,0.316,0.337,21.853,17.394,21.391,19.941,18.812,17.702,46.362,129.6,0.2081,37-the-ouroboros-sings.mp3,3.96,-145.37,62.12,-3.51,0.55,-5.89,-3.5,46.59,0.43,8.48,-1.18,2.5,2.63,-2.05,0.1231,0.0619,22050,music,2379.0,2522.9,923.5,0.0237,5048.9,89.1,0.1122
0.348,0.288,0.232,0.312,0.361,0.309,0.359,0.236,0.233,0.316,0.253,0.281,21.121,20.592,22.672,21.272,18.704,18.634,44.616,182.47,0.2345,38-the-session-listens-back.mp3,5.58,-210.08,74.55,-5.2,2.57,-5.18,21.44,26.71,5.66,-3.34,3.28,-1.88,5.08,9.75,0.1227,0.0688,22050,music,2533.0,2213.6,1143.7,0.0167,4771.4,95.7,0.079
0.296,0.295,0.237,0.218,0.435,0.372,0.378,0.207,0.133,0.191,0.242,0.384,21.459,20.624,23.126,22.038,17.96,17.604,47.145,196.94,0.2337,39-the-cadence-caller.mp3,6.02,-179.83,70.13,4.23,-0.94,-4.54,24.64,42.0,-1.4,3.65,14.05,-1.43,14.19,-0.48,0.1367,0.0718,22050,music,2690.2,2339.3,897.0,0.0115,5088.9,60.1,0.0735
0.215,0.277,0.277,0.188,0.396,0.288,0.37,0.332,0.186,0.233,0.269,0.459,22.676,19.129,23.397,22.482,20.315,19.263,47.339,152.28,0.2097,40-the-fifths-funeral.mp3,4.66,-193.11,90.98,2.38,2.69,-3.82,-1.62,25.65,-2.67,0.92,0.13,2.99,-0.47,5.09,0.1089,0.0661,22050,music,2060.9,1890.2,964.5,0.0118,3808.7,103.4,0.0812
0.359,0.264,0.262,0.241,0.341,0.273,0.412,0.447,0.293,0.348,0.279,0.355,20.416,18.397,22.829,21.095,20.238,18.255,46.438,115.26,0.2308,41-the-metronome.mp3,3.52,-166.12,69.09,0.97,2.05,-5.7,7.45,43.49,0.33,2.22,-0.52,2.42,-1.13,3.69,0.1336,0.0696,22050,music,2398.3,2315.4,978.3,0.0163,4824.0,92.3,0.0991
0.21,0.296,0.221,0.181,0.411,0.289,0.342,0.289,0.146,0.177,0.191,0.298,20.962,20.882,23.724,22.457,18.975,19.659,46.024,196.89,0.235,42-the-tensor.mp3,6.02,-236.11,91.77,-4.66,6.77,-8.37,19.05,31.58,3.53,-7.23,9.32,1.33,7.92,5.22,0.1204,0.0746,22050,music,2277.8,1833.7,1008.7,0.009,3837.2,117.5,0.0636
